"S1.bam" "S10.bam" "S11.bam" "S12.bam" "S2.bam" "S3.bam" "S4.bam" "S5.bam" "S6.bam" "S7.bam" "S8.bam" "S9.bam"
"DUF3833 domain-containing protein_2" 25 255 89 173 26 36 29 10 27 91 106 136
"tRNA 2-thiocytidine(32) synthetase TtcA" 925 691 471 386 713 1184 804 864 1363 527 732 1241
"bifunctional diguanylate cyclase/phosphodiesterase" 2131 3057 2858 3879 2152 2751 3828 3211 4182 1359 1524 3000
"membrane protein insertase YidC" 6109 4924 4005 7715 4883 7393 5970 5469 7432 4266 5045 8803
"MOSC domain-containing protein_2" 928 859 772 1316 918 1440 964 984 1230 655 826 1240
"ribosome biogenesis GTP-binding protein YihA/YsxC" 981 859 661 958 975 1514 1260 1028 1541 679 894 1418
"SDR family oxidoreductase_20" 447 569 256 346 326 419 384 309 534 302 526 602
"acetylglutamate kinase" 1564 1198 932 1488 1146 1741 1347 1336 1807 780 985 1524
"ferredoxin" 29 233 159 285 52 109 78 110 148 37 80 122
"histidine phosphatase family protein_4" 110 540 455 568 139 214 295 234 282 192 260 422
"DUF411 domain-containing protein" 17 37 41 63 24 44 36 30 42 19 22 20
"amino acid ABC transporter ATP-binding protein_3" 3041 1959 1511 1673 2998 4636 3920 3775 5494 1229 1869 2670
"amino acid ABC transporter permease_3" 4255 2051 1846 2446 3197 4725 5183 3695 5693 1497 2045 2925
"ABC transporter permease subunit_4" 2546 2253 1704 2139 3034 4439 4475 3859 5820 1356 2027 2539
"amino acid ABC transporter substrate-binding protein_2" 28875 14534 10841 16955 17381 24777 21055 21641 28249 8625 12459 16634
"ATPase_4" 479 839 563 654 526 717 615 533 725 366 471 690
"HAD-IA family hydrolase_2" 584 630 448 499 399 541 375 325 570 288 437 581
"RluA family pseudouridine synthase_2" 1311 2010 1412 1949 917 1400 1051 920 1381 895 1179 1762
"fluoride efflux transporter CrcB" 314 418 270 322 256 389 340 270 438 155 199 266
"replication-associated recombination protein A" 2311 3188 2461 3698 1728 2543 1895 1591 2411 2515 3710 4338
"trypsin-like peptidase domain-containing protein" 3973 7252 5477 7923 2923 4221 3382 2650 3967 5520 8119 9868
"50S ribosomal protein L17" 27111 16909 11538 8532 19865 30226 19589 21443 32143 15434 18064 34438
"DNA-directed RNA polymerase subunit alpha" 31888 18468 14085 22946 21583 34318 27539 23232 34113 16860 20111 33750
"30S ribosomal protein S11" 17528 13106 9309 13279 14003 23478 17445 16081 23510 10630 12043 21172
"30S ribosomal protein S13" 26391 19164 13591 14032 20450 32474 20618 23295 34216 15875 17142 31522
"adenylate kinase_2" 4033 3678 2546 4423 3711 5519 5224 4040 5541 2827 3578 5660
"preprotein translocase subunit SecY" 8931 11167 9027 10923 9020 13805 11460 9905 14024 8656 10896 16492
"50S ribosomal protein L15" 23194 21696 14117 14041 25540 35968 27453 28152 40678 15946 18871 37131
"SMI1/KNR4 family protein" 378 1369 993 755 586 829 766 699 944 408 528 786
"DUF1127 domain-containing protein_4" 1926 65520 47734 38316 4120 4849 4751 3887 6029 12964 17308 30199
"50S ribosomal protein L30" 1679 2344 1682 1748 3181 4772 3880 3116 4927 2392 2874 5042
"30S ribosomal protein S5" 41291 17214 14651 22136 22943 39362 30857 26391 35296 19709 20152 30260
"50S ribosomal protein L18" 10804 7185 5981 7214 8921 15051 10995 8987 14922 7610 8090 11955
"50S ribosomal protein L6" 11107 9226 7966 12381 11618 19300 15063 13643 17701 10459 11319 16094
"30S ribosomal protein S8" 8351 5929 5671 10830 7442 12574 10611 8243 11186 6702 7661 10412
"30S ribosomal protein S14" 9556 4639 4428 3890 5712 9367 5882 6158 8711 5117 5662 7709
"50S ribosomal protein L5" 18001 12165 10753 17595 14050 22855 15600 16330 22666 12650 14883 19556
"50S ribosomal protein L24" 10652 7860 7874 13534 8476 14418 11103 10192 13635 8394 9262 12223
"50S ribosomal protein L14" 7696 9531 8498 10437 9519 15609 14536 10095 15597 8510 10429 14983
"30S ribosomal protein S17" 6795 8823 8172 10196 8266 15260 12375 10261 13628 8794 9454 14037
"50S ribosomal protein L29" 6507 8717 8169 7356 7845 13481 13936 9674 12497 7384 9557 13440
"hypothetical protein_400" 228 206 165 164 207 353 308 195 325 127 180 251
"TIGR02466 family protein" 780 630 488 661 547 866 780 693 943 368 505 782
"DM13 domain-containing protein" 329 364 275 230 277 392 340 349 400 197 241 339
"50S ribosomal protein L16" 17300 6425 5777 9080 11295 19803 14989 11946 18064 7948 8558 12459
"30S ribosomal protein S3" 32824 10259 9719 15495 17241 30968 23054 19838 27748 12678 14036 19395
"50S ribosomal protein L22" 15209 10530 8823 14479 15459 27135 23138 18187 25182 12141 13429 18631
"30S ribosomal protein S19" 5698 5954 4827 6252 8282 15075 14398 9948 13743 6942 7705 10994
"50S ribosomal protein L2" 44691 25782 21503 29249 31644 55688 37435 35247 49308 27996 30716 44334
"SIR2 family protein" 1410 8745 6494 3333 2480 3494 7325 7066 9866 3714 4845 7630
"50S ribosomal protein L23" 3872 5262 2757 4942 6012 9013 7524 6331 10039 4852 5933 9377
"50S ribosomal protein L4" 17336 11684 6508 12087 13198 20016 13877 13692 22148 10921 13938 19844
"50S ribosomal protein L3" 29005 13670 10340 24257 15163 26615 17581 15851 25114 13895 15844 22792
"30S ribosomal protein S10" 11543 7785 4175 4441 9234 13126 13004 9334 15109 6851 9203 13599
"elongation factor Tu_1" 52886 29186 23466 40629 35010 57285 41094 40852 55259 30433 35300 55761
"elongation factor G_1" 52048 27121 25390 54927 27331 50022 35256 30973 43258 31701 36274 43539
"30S ribosomal protein S7" 8131 7430 8221 19166 6654 13563 9188 7722 10433 8930 9276 12166
"30S ribosomal protein S12" 13151 12870 10835 15006 10763 19235 16868 12866 17361 11598 13033 19495
"putative rhamnosyl transferase_1" 167 275 171 141 229 416 312 305 428 161 229 326
"DMT family transporter_22" 447 279 212 296 346 547 398 349 518 190 266 397
"putative rhamnosyl transferase_2" 549 499 316 301 519 778 717 517 846 364 508 760
"DUF3885 domain-containing protein" 819 603 363 250 685 1152 975 870 1484 308 409 703
"DNA-directed RNA polymerase subunit beta'" 44426 27987 23647 36453 30524 50467 41777 35372 49368 27237 31226 46042
"DNA-directed RNA polymerase subunit beta" 45519 36878 29070 44521 35006 52839 41446 39519 56607 31989 38674 57042
"50S ribosomal protein L7/L12" 40517 13512 7231 9988 17811 29656 23510 18031 35302 15376 20719 29334
"50S ribosomal protein L10" 72620 23137 17025 27623 33748 64754 46852 34253 63267 26960 32153 48026
"50S ribosomal protein L1" 17975 9801 6720 9085 18886 30977 18778 19535 31454 11926 14026 23699
"50S ribosomal protein L11" 12621 9328 5384 6123 16995 26228 18819 18243 27949 10738 12816 22780
"DUF6525 family protein" 13 28 14 12 15 16 15 15 21 243 393 498
"transcription termination/antitermination protein NusG" 6782 4453 3057 4253 3961 6020 5125 4276 6810 2790 3490 5782
"preprotein translocase subunit SecE" 1563 2748 1925 1650 2361 3515 2982 2426 3996 1798 2258 3501
"tetratricopeptide repeat protein_9" 1382 2360 2552 3740 2129 3350 4531 3396 4280 1104 1432 2120
"DUF374 domain-containing protein" 1000 846 620 1086 839 1232 1082 932 1211 501 646 1010
"elongation factor Tu_2" 32639 20245 14413 22753 23197 34640 25805 25936 35822 17429 21720 36126
"hypothetical protein_401" 1597 1828 1274 1494 1645 2227 2058 1844 2507 1068 1407 2347
"DNA topoisomerase IV subunit A" 2819 2175 1503 1850 2895 4365 3557 3450 4683 1613 2056 3167
"SH3 domain-containing protein_2" 353 885 658 1075 440 713 434 403 615 334 623 665
"SDR family NAD(P)-dependent oxidoreductase_6" 366 471 359 411 381 547 429 457 659 217 282 444
"twin transmembrane helix small protein" 162 331 237 199 247 458 210 219 383 225 318 507
"cob(I)yrinic acid a%2Cc-diamide adenosyltransferase_2" 2119 1474 1105 1724 1224 1884 1463 1140 1824 1114 1466 2162
"electron transfer flavoprotein subunit beta/FixA family protein" 14658 8502 6380 11056 11441 16979 15899 13159 18085 8820 11343 16405
"electron transfer flavoprotein subunit alpha/FixB family protein" 13481 6568 4727 8928 9136 13168 11457 9905 14593 6666 9339 13056
"DUF6473 family protein" 453 1072 657 471 605 763 1061 811 1197 524 748 998
"3-hydroxybutyryl-CoA dehydrogenase" 2564 2788 2089 1984 2359 3412 2553 2743 3596 1826 2446 3519
"lysophospholipid acyltransferase family protein_3" 1645 923 715 1065 1268 2067 1651 1489 2072 719 923 1359
"HPr family phosphocarrier protein" 858 601 322 395 703 956 679 718 999 443 704 850
"PTS fructose transporter subunit IIA" 553 437 209 278 472 589 568 421 798 291 520 635
"RNase adapter RapZ" 950 1166 902 1113 833 1044 954 742 1019 775 1177 1530
"HPr kinase/phosphatase C-terminal domain-containing protein" 219 147 111 151 211 264 191 202 258 94 122 180
"sensor histidine kinase_4" 2751 2768 1887 2267 2333 3501 2597 2407 3672 1799 2310 3329
"response regulator transcription factor_7" 2573 2962 2093 3904 1813 2808 2295 1861 2863 2161 2684 3358
"phosphoenolpyruvate carboxykinase" 4182 3395 2580 3475 3507 5129 4441 3931 5270 6654 7087 8048
"cation diffusion facilitator family transporter" 229 237 133 151 152 217 257 184 267 140 187 242
"sulfite exporter TauE/SafE family protein_5" 307 276 213 253 255 374 322 249 378 163 214 293
"acyl-CoA/acyl-ACP dehydrogenase_3" 437 713 471 664 484 598 574 556 695 348 442 738
"META domain-containing protein" 326 210 141 193 205 310 279 267 315 112 138 164
"DNA repair protein RecO" 310 148 117 138 265 385 312 298 401 129 116 250
"DUF1491 family protein" 169 74 68 36 102 162 154 130 204 57 88 128
"GTPase Era" 1222 946 498 651 931 1365 1159 995 1550 660 872 1351
"ribonuclease III" 527 293 144 175 341 465 433 397 602 253 343 462
"signal peptidase I" 1637 1378 888 770 1390 2013 1541 1461 2371 1080 1498 2205
"holo-ACP synthase" 242 213 162 206 219 284 189 185 288 125 187 223
"pyridoxine 5'-phosphate synthase" 533 765 574 651 585 870 718 675 893 465 564 904
"DUF2062 domain-containing protein" 628 564 408 316 655 818 760 676 1087 388 465 763
"bifunctional (p)ppGpp synthetase/guanosine-3'%2C5'-bis(diphosphate) 3'-pyrophosphohydrolase" 3461 3593 2221 2353 3431 5033 4223 3841 5544 1959 2497 3827
"DNA-directed RNA polymerase subunit omega" 5487 4939 2914 4528 4222 5771 5409 4921 6658 3303 4111 6518
"2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase" 439 443 280 369 367 602 457 340 585 184 265 399
"NYN domain-containing protein_2" 2262 7572 5568 5735 3266 4479 3202 3405 4843 4853 7230 9348
"4-hydroxy-3-methylbut-2-enyl diphosphate reductase" 1718 2049 1487 1758 1522 2231 1919 1619 2277 1450 2170 2916
"LysE family translocator_6" 401 852 641 744 550 684 678 597 687 457 642 902
"DUF3429 domain-containing protein" 83 163 148 98 166 205 179 173 199 97 141 238
"class I SAM-dependent methyltransferase_9" 153 305 236 298 240 278 226 217 275 121 156 231
"ribonuclease HI" 192 123 71 98 140 217 161 170 227 82 99 169
"trimeric intracellular cation channel family protein" 182 140 102 135 173 240 232 170 254 91 138 205
"hypothetical protein_402" 93 88 49 59 83 114 100 86 111 58 65 93
"methionyl-tRNA formyltransferase" 652 457 306 706 394 746 528 449 688 417 507 638
"peptide deformylase_1" 1427 1041 677 1077 1063 1734 1223 1079 1734 804 1026 1473
"peptide deformylase_2" 1718 1029 601 930 983 1499 1430 1118 1683 766 974 1457
"pyridoxal phosphate-dependent aminotransferase_4" 4942 4450 3340 4968 4923 6616 5868 5686 7114 3154 4128 5975
"hypothetical protein_403" 562 1469 860 1366 473 611 653 647 771 493 749 1091
"glutathione S-transferase family protein_4" 118 298 191 219 151 192 253 215 328 200 290 391
"pyridoxal phosphate-dependent class II aminotransferase" 2233 6243 4417 5523 3091 3879 3744 3265 4550 2519 3713 5309
"adenosylcobinamide-phosphate synthase CbiB" 1479 2059 1429 1750 1422 1965 1739 1580 2161 956 1388 1998
"lytic murein transglycosylase_4" 1953 2760 1943 2068 2063 3021 2530 2242 3140 1182 1592 2595
"hypothetical protein_404" 52 76 32 38 55 103 76 78 96 33 47 52
"YbjN domain-containing protein_2" 343 379 273 304 426 692 541 519 678 284 359 560
"AAA family ATPase_6" 4159 1516 1024 1611 2884 4312 4039 3388 4829 1744 2399 2992
"hypothetical protein_405" 102 64 60 83 77 149 80 107 157 47 69 90
"FCD domain-containing protein_2" 687 463 351 406 593 998 1007 890 1248 377 526 696
"N-acetyltransferase_2" 578 570 314 433 432 552 469 450 676 312 484 623
"F0F1 ATP synthase subunit B" 20362 11406 7363 13267 12816 18124 15423 13590 20577 7957 9765 16371
"F0F1 ATP synthase subunit B'" 18623 15881 12096 18717 16135 25316 21650 17006 26323 10793 13379 22319
"F0F1 ATP synthase subunit C" 15847 17195 10980 10326 17575 26045 18434 18055 26918 15744 18230 32946
"F0F1 ATP synthase subunit A" 6515 6888 4599 5728 5608 8403 6392 6112 8982 4595 5655 9514
"AtpZ/AtpI family protein" 1345 1507 787 537 1677 2325 2397 1684 2475 626 929 1547
"DMT family transporter_23" 49 39 35 32 32 75 63 43 62 46 55 51
"metalloregulator ArsR/SmtB family transcription factor_4" 287 189 142 217 200 286 258 206 315 129 145 272
"DMT family transporter_24" 301 322 185 242 253 334 319 295 376 196 267 338
"LysR family transcriptional regulator_25" 504 708 539 834 515 786 655 560 757 512 593 923
"prolyl-tRNA synthetase associated domain-containing protein" 63 86 52 107 57 112 73 69 126 60 100 82
"elongation factor G_2" 49 301 303 466 52 71 80 55 84 67 95 106
"signal recognition particle protein" 6032 5960 4371 6724 4270 6785 5280 4209 6692 4992 6801 9773
"GNAT family N-acetyltransferase_23" 997 913 663 937 807 1231 754 719 1104 701 1006 1340
"GNAT family N-acetyltransferase_24" 664 846 648 563 819 1192 885 694 1195 560 729 1267
"GNAT family N-acetyltransferase_25" 529 715 450 585 677 1072 756 641 1014 504 640 1048
"chorismate mutase_2" 265 548 353 367 457 751 401 472 677 405 574 922
"30S ribosomal protein S16" 4082 6328 4407 4498 7323 11452 8458 7783 12644 6824 8632 13405
"5%2C6-dimethylbenzimidazole synthase" 2040 1661 1385 2557 1329 2074 1662 1379 2045 1185 1395 1919
"ribosome maturation factor RimM" 285 284 191 255 246 402 356 256 473 196 275 322
"phosphotransferase_1" 289 516 330 320 351 543 417 333 517 215 259 440
"tRNA (guanosine(37)-N1)-methyltransferase TrmD" 1063 605 389 529 685 1023 1004 793 1190 342 412 807
"50S ribosomal protein L19" 7080 13446 7761 7493 13838 20533 15928 14409 23250 10165 12663 21924
"50S ribosomal protein L31" 551 1062 638 1087 1019 1542 1174 952 1569 757 1008 1556
"division plane positioning ATPase MipZ" 1734 1310 957 1601 1207 1802 1382 1331 1876 1020 1301 1790
"exosortase E/protease%2C VPEID-CTERM system" 618 484 366 349 581 940 746 576 892 350 516 693
"VPEID-CTERM sorting domain-containing protein" 34 62 40 54 35 49 40 39 65 25 37 67
"adenylate/guanylate cyclase domain-containing protein_1" 716 1285 920 784 863 1217 1232 1132 1332 540 714 1000
"MarR family transcriptional regulator_8" 191 340 239 321 226 268 260 258 318 172 234 267
"homogentisate 1%2C2-dioxygenase" 78 434 364 430 115 199 185 169 192 139 176 259
"fumarylacetoacetase" 205 517 482 874 201 353 314 282 339 186 256 386
"MBL fold metallo-hydrolase_9" 211 561 497 736 259 406 323 285 354 232 345 454
"FAD-dependent oxidoreductase_11" 50 134 91 152 48 95 146 71 80 369 435 436
"DUF2783 domain-containing protein" 2 24 20 31 4 12 45 11 20 76 84 90
"VOC family protein_12" 9 42 31 63 13 22 37 20 23 121 154 82
"maleylacetoacetate isomerase" 26 81 60 95 40 44 86 43 53 123 151 149
"NnrU family protein_2" 46 110 84 117 61 83 138 76 94 143 182 217
"oxygen-independent coproporphyrinogen III oxidase" 113 72 47 50 128 149 369 130 212 2378 2828 2921
"cryptochrome/photolyase family protein" 253 995 635 521 307 530 409 331 449 579 664 972
"hypothetical protein_406" 103 229 130 74 237 301 279 258 333 144 206 256
"DNA polymerase Y family protein" 98 127 66 59 123 169 153 157 232 84 139 177
"error-prone DNA polymerase" 227 381 188 190 316 491 403 352 546 244 321 465
"agmatinase_2" 108 111 110 82 134 179 202 152 226 88 115 169
"arginase family protein" 107 127 82 91 84 142 120 93 144 67 81 128
"ABC transporter permease subunit_5" 34 79 57 74 40 68 72 50 79 28 57 67
"glycine betaine/L-proline ABC transporter ATP-binding protein" 63 114 56 85 76 105 134 96 125 45 65 93
"amino acid-binding protein" 142 520 449 670 100 126 501 380 479 283 366 578
"LysR family transcriptional regulator_26" 310 1176 820 623 407 550 1300 1195 1499 430 557 858
"peptide ABC transporter substrate-binding protein_2" 5520 9401 7489 11078 5596 7305 6932 6592 7395 7626 10805 11242
"oligopeptide ABC transporter permease OppB" 1392 1667 1616 1983 1620 2368 2456 1761 2137 1628 2200 2606
"ABC transporter permease subunit_6" 1384 1296 1060 1428 1415 1997 1491 1496 1827 1249 1709 2542
"oligopeptide ABC transporter ATP-binding protein OppD" 1053 904 758 1084 1236 1589 1284 1215 1470 997 1232 1727
"ATP-binding cassette domain-containing protein_20" 1168 845 647 1134 1034 1308 1112 1065 1295 796 1084 1472
"protein-methionine-sulfoxide reductase heme-binding subunit MsrQ" 234 349 355 354 157 309 222 191 209 327 520 539
"protein-methionine-sulfoxide reductase catalytic subunit MsrP" 275 1092 883 908 359 562 368 303 437 1005 1562 1810
"FMN-binding glutamate synthase family protein" 168 344 332 628 192 298 255 209 238 285 375 427
"DUF302 domain-containing protein_3" 328 1103 858 1188 356 439 353 353 436 633 982 1163
"hypothetical protein_407" 179 825 569 626 327 458 381 350 459 267 480 543
"ATP-dependent chaperone ClpB" 3841 30879 27089 76700 2539 3405 3594 2315 3367 44381 74115 53712
"orotidine-5'-phosphate decarboxylase" 649 787 586 1081 723 1194 745 735 1070 651 886 1326
"NUDIX hydrolase_5" 175 156 78 122 89 173 122 105 158 85 136 150
"DNA polymerase IV" 270 481 359 488 294 462 405 295 432 262 413 529
"N-formylglutamate amidohydrolase_2" 200 390 261 425 190 314 255 231 288 193 316 325
"type B 50S ribosomal protein L36" 945 2939 1678 1195 2706 3717 2359 2480 4291 1615 2528 3862
"Fe(3+) ABC transporter substrate-binding protein" 19330 68955 44115 53668 26356 37715 59763 58221 74198 27662 34317 55447
"DUF2938 domain-containing protein" 2270 482 307 435 1388 2058 770 546 718 1530 2561 2779
"GTP-binding protein" 941 367 254 333 699 1220 599 566 857 444 607 949
"iron ABC transporter permease_4" 492 443 326 561 353 531 518 425 706 417 608 722
"AMP-binding protein_6" 469 186 173 294 406 622 483 414 478 370 599 680
"ABC transporter ATP-binding protein_39" 151 71 56 97 114 221 131 132 145 145 234 247
"ABC transporter substrate-binding protein_28" 275 132 132 268 293 415 329 282 356 308 510 471
"branched-chain amino acid ABC transporter permease_9" 160 135 90 164 160 265 210 185 245 288 464 476
"hypothetical protein_408" 33 24 26 59 47 75 59 48 78 64 118 106
"SHOCT domain-containing protein" 177 610 521 542 312 309 402 409 520 234 374 538
"branched-chain amino acid ABC transporter permease_10" 233 206 177 206 161 290 273 231 293 247 395 371
"ABC transporter ATP-binding protein_40" 123 63 45 98 97 175 146 107 143 153 269 219
"AMP-binding protein_7" 207 102 93 134 166 277 199 191 233 304 563 482
"PAS-domain containing protein_2" 414 705 542 677 647 857 737 731 912 522 730 985
"response regulator transcription factor_8" 440 367 331 409 426 573 496 465 595 300 389 587
"WGR domain-containing protein_3" 49 107 96 72 105 203 111 127 161 67 98 144
"histidine phosphatase family protein_5" 497 793 474 524 639 809 738 682 972 428 553 797
"glutathione S-transferase family protein_5" 252 411 278 367 433 608 546 473 685 318 398 607
"saccharopine dehydrogenase" 1239 1040 806 1245 1259 1796 1676 1554 2032 889 1094 1594
"saccharopine dehydrogenase NADP-binding domain-containing protein" 2955 2324 1788 2779 2907 4176 3329 3397 4644 1988 2685 3648
"DUF3775 domain-containing protein" 70 52 16 49 53 66 96 64 100 183 289 209
"adenylate/guanylate cyclase domain-containing protein_2" 322 207 126 180 272 338 256 231 333 146 256 318
"DNA recombination protein RmuC" 423 424 241 318 420 579 553 433 613 248 352 568
"DNA mismatch repair endonuclease MutL" 1795 1624 1034 1481 1269 1982 1533 1303 1904 1125 1506 2103
"metal ABC transporter permease_2" 1515 3106 2413 3226 670 1213 896 633 910 2883 4151 4728
"metal ABC transporter ATP-binding protein_2" 187 852 594 1033 138 231 165 136 216 758 1065 1272
"zinc ABC transporter substrate-binding protein_2" 1296 6783 3764 5629 596 977 779 509 897 6005 9983 9037
"deoxyribose-phosphate aldolase" 887 2691 2115 2908 938 1272 1005 1076 1392 1534 1836 2916
"aldehyde dehydrogenase family protein_8" 2120 4830 3966 5107 2038 3073 2420 2275 2941 2827 3501 5742
"insulinase family protein_2" 2547 3641 2951 4954 2451 4021 3317 2772 3774 3641 5330 6493
"DUF3035 domain-containing protein" 1437 1729 1387 1855 1538 2144 1737 1514 2125 1054 1317 2030
"signal peptidase II" 366 321 205 176 402 647 453 371 617 237 355 538
"bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase" 4067 2201 1871 3720 2720 4656 3204 3130 4474 2319 2713 3762
"heparinase II/III family protein" 2129 1784 1396 2014 2003 2959 2475 2226 2760 1289 1642 2528
"16S rRNA methyltransferase" 564 315 193 212 343 568 365 360 561 259 413 570
"DUF1674 domain-containing protein" 361 695 411 544 494 655 601 442 641 357 539 827
"antibiotic biosynthesis monooxygenase_6" 327 300 237 264 296 413 403 239 382 216 307 403
"4-hydroxy-tetrahydrodipicolinate reductase" 1062 1018 735 767 998 1425 956 965 1404 638 804 1195
"30S ribosome-binding factor RbfA" 1109 1244 972 1144 1144 1622 1748 1192 1742 737 910 1449
"phosphodiester glycosidase family protein" 1283 719 607 965 938 1411 1125 1064 1413 493 552 926
"tRNA pseudouridine(55) synthase TruB" 1159 658 483 709 835 1378 795 911 1486 672 847 1236
"DUF1643 domain-containing protein" 74 113 89 107 93 127 102 88 137 72 110 117
"calcium-binding protein_5" 95 833 688 903 99 198 127 155 179 320 381 549
"30S ribosomal protein S15" 7496 16181 10109 9768 18339 27209 24818 19132 29529 14135 16253 32314
"class I SAM-dependent methyltransferase_10" 927 1292 917 1008 1262 1664 2004 1746 2601 530 666 1128
"polyribonucleotide nucleotidyltransferase" 29088 19633 18555 33924 23684 38435 27686 27645 38356 19332 23633 33717
"glycosyltransferase family 25 protein" 984 881 679 1131 815 1244 844 705 1079 934 1498 1692
"peroxiredoxin_4" 10780 13679 8750 20243 8303 11333 6356 5003 8165 19484 35246 29139
"aldehyde dehydrogenase family protein_9" 7971 8911 7043 11807 7451 10282 10181 8406 10563 13657 20987 24928
"glyoxalase superfamily protein" 273 588 326 348 309 433 326 306 543 221 359 462
"VOC family protein_13" 61 67 40 45 49 105 32 40 41 50 88 137
"alpha-1%2C2-fucosyltransferase" 468 495 335 365 523 754 482 531 773 317 415 642
"RluA family pseudouridine synthase_3" 178 306 206 138 321 475 337 311 540 218 296 396
"nuclear transport factor 2 family protein_8" 91 241 155 244 99 148 118 109 151 166 278 299
"EamA family transporter RarD" 334 266 200 113 422 636 420 409 662 210 303 438
"FAD-dependent oxidoreductase_12" 210 288 235 401 205 252 182 210 263 149 170 266
"helix-turn-helix domain-containing protein_27" 95 65 61 121 87 151 112 120 150 63 62 95
"FAD-dependent oxidoreductase_13" 632 582 400 595 572 738 681 643 819 375 492 757
"GFA family protein_6" 9 13 19 26 10 22 14 14 21 11 19 12
"LysE family translocator_7" 44 30 22 27 32 42 56 42 53 12 29 29
"XRE family transcriptional regulator_5" 161 109 77 87 87 156 147 121 159 62 80 135
"GAF domain-containing protein_3" 967 426 293 411 604 987 681 575 874 541 740 847
"acetyl-CoA C-acyltransferase_2" 2162 1716 1151 2497 1509 2328 2048 1331 2032 2084 3093 3200
"STAS domain-containing protein_4" 574 1157 808 649 880 1212 1017 1316 1721 534 714 1223
"ATP-binding protein_18" 938 1285 1068 1130 1115 1372 1569 1572 2029 572 615 1243
"gamma-glutamyltransferase family protein" 1132 1450 1054 1271 1054 1377 1215 1050 1319 928 1151 1581
"heat shock protein HspQ" 1247 695 475 560 687 1048 822 821 1253 375 459 612
"tetratricopeptide repeat protein_10" 3734 6984 5307 10453 2720 3921 3262 2816 4117 5082 7894 9666
"LON peptidase substrate-binding domain-containing protein" 1042 2255 1716 2361 1280 1947 1650 1424 2163 1247 1696 2375
"Trm112 family protein" 303 476 279 316 354 544 550 335 562 190 317 417
"FAD-dependent monooxygenase_3" 1213 1412 951 1232 1112 1728 1323 1182 1715 1134 1549 2136
"amidase_2" 1078 1263 920 1442 867 1163 1030 988 1245 830 1060 1413
"aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme_8" 1941 1739 1453 1543 2103 2977 2159 2227 2907 939 1297 2173
"DNA translocase FtsK 4TM domain-containing protein" 5813 3998 3021 4415 5626 7931 6316 5596 7813 2950 3752 5353
"outer membrane lipoprotein carrier protein LolA" 1468 4547 3840 3875 2343 3312 2136 2250 3257 3114 4842 5881
"lytic transglycosylase" 1360 2573 1768 1009 2452 3767 2556 2674 3544 1779 2534 3383
"exodeoxyribonuclease III_2" 652 650 478 731 527 786 693 594 712 539 712 876
"response regulator transcription factor_9" 2533 11261 8835 13721 1979 2747 3019 1797 2591 11057 19347 19885
"GTP cyclohydrolase II" 473 646 461 600 437 830 627 507 679 429 698 788
"L%2CD-transpeptidase family protein_2" 227 269 175 235 248 346 328 222 377 159 203 315
"YggS family pyridoxal phosphate-dependent enzyme" 727 772 523 587 522 746 660 548 925 504 634 778
"porin_2" 274756 198577 146462 185561 204063 304256 187936 189521 290508 140985 169586 272547
"DUF3576 domain-containing protein" 1070 3816 2452 2283 2914 4213 2696 3270 4709 2079 2480 4618
"leucine--tRNA ligase" 3530 3172 2325 3187 2807 4620 2724 3201 4470 2328 2841 4786
"LPS assembly lipoprotein LptE" 608 1073 833 819 805 1112 1024 869 1194 516 665 1069
"DNA polymerase III subunit delta" 647 426 306 289 536 721 511 518 858 218 343 516
"glutathione S-transferase family protein_6" 202 225 148 206 259 361 298 281 402 182 268 338
"TIGR03862 family flavoprotein" 560 410 314 457 389 584 554 527 675 276 354 490
"HNH endonuclease_3" 72 107 89 43 63 81 73 78 107 49 66 109
"enoyl-CoA hydratase/isomerase family protein_3" 489 253 157 291 300 480 403 381 465 195 259 361
"SDR family oxidoreductase_21" 835 606 317 595 565 688 764 631 804 365 560 655
"DUF2125 domain-containing protein_2" 12843 13420 10725 18794 10492 16925 12631 11449 15784 10861 16380 17526
"TldD/PmbA family protein" 2271 2841 2035 2960 2024 2954 2069 2109 2720 2037 2759 3873
"3'(2')%2C5'-bisphosphate nucleotidase CysQ_1" 782 616 430 589 679 910 750 602 914 439 590 910
"3-deoxy-D-manno-octulosonic acid transferase_2" 588 389 337 411 495 707 571 483 705 302 392 529
"tetraacyldisaccharide 4'-kinase" 682 441 285 347 610 807 613 566 887 378 535 749
"DsbA family protein_2" 3067 2160 1406 1991 2091 3248 2437 2164 3138 2201 3197 3738
"DciA family protein" 1114 2301 1594 1770 1823 2579 1700 1662 2423 1293 2058 2690
"A/G-specific adenine glycosylase" 189 284 207 234 260 414 227 207 331 169 232 358
"alkane 1-monooxygenase" 526 1262 919 1010 665 965 863 757 947 554 813 1207
"adenylate/guanylate cyclase domain-containing protein_3" 624 1044 635 729 610 754 650 575 890 535 804 925
"site-specific DNA-methyltransferase" 8198 3651 2927 3709 7935 11304 8909 8306 11482 2040 2657 4295
"ribonuclease HII" 83 42 35 42 110 119 111 103 111 37 73 93
"hypothetical protein_409" 13 2599 1549 1877 43 57 59 58 68 1063 1449 1853
